Id,Label,screen_name,weight,In-Degree,Out-Degree,Degree,Modularity Class,Clustering Coefficient,Eigenvector Centrality
762544164,ijazik,ijazik,1,1,0,1,3,0,0.024711015
1575977101,Ukht_A,Ukht_A,1,1,0,1,3,0,0.024711015
1694990480,Thoar_Syria,Thoar_Syria,1,0,1,1,3,0,0
2464841881,DasguteWort,DasguteWort,1,1,0,1,3,0,0.024711015
332791991,blakehunsicker,blakehunsicker,1,1,0,1,3,0,0.024711015
51249414,Calla415,Calla415,1,0,1,1,3,0,0
1595506969,darwensound,darwensound,1,1,0,1,3,0,0.024711015
770179418,ABomsamalaser,ABomsamalaser,1,0,1,1,3,0,0
1767178633,sdudah1,sdudah1,1,5,0,5,3,0.5,0.121269307
157483427,adamfhutton,adamfhutton,1,0,1,1,3,0,0
297796024,a7taker,a7taker,1,0,1,1,3,0,0
2829156815,isworldpress13,isworldpress13,1,0,1,1,3,0,0
603455960,Qs__3,Qs__3,1,1,0,1,3,0,0.024711015
113410551,gokesher,gokesher,1,0,1,1,3,0,0
2524021280,SaleemKundi,SaleemKundi,1,1,0,1,3,0,0.024711015
2755920456,tnt_tnt_7,tnt_tnt_7,1,0,1,1,3,0,0
2818015861,hihowareyou2020,hihowareyou2020,1,1,0,1,3,0,0.024711015
2795897545,mby1abuammar,mby1abuammar,1,2,0,2,3,1,0.073645766
2763752138,DomingoSoraya,DomingoSoraya,1,1,0,1,3,0,0.024711015
392332071,EvanStavisky,EvanStavisky,1,0,1,1,3,0,0
2853602178,KeepyourF,KeepyourF,1,3,0,3,3,0.8333333,0.10703736
1269498764,kazil313,kazil313,1,2,0,2,3,0.5,0.035172715
718046173,ja3fr_,ja3fr_,1,0,1,1,3,0,0
490505193,albaghdadi313,albaghdadi313,1,3,0,3,3,0.16666667,0.061872854
582255615,KevinBryce1,KevinBryce1,1,1,0,1,3,0,0.024711015
2841674760,man_goog,man_goog,1,1,0,1,3,0,0.024711015
2649687060,IndianWitness,IndianWitness,1,3,1,4,3,0.5,0.077416012
1352729624,a_azraeel,a_azraeel,1,0,1,1,3,0,0
2701067399,AdamJulaybieb,AdamJulaybieb,1,2,0,2,3,0.5,0.058102608
25363594,gregoryrose,gregoryrose,1,0,1,1,3,0,0
2786487149,GundemTevhidi,GundemTevhidi,1,1,0,1,3,0,0.024711015
2854487264,fallsis1,fallsis1,1,3,0,3,3,0.5,0.077416012
1120011516,CJohnson_gta,CJohnson_gta,1,2,0,2,3,0.5,0.035172715
1140819217,Eye_onsomalia,Eye_onsomalia,1,0,1,1,3,0,0
542016794,MilestoneIslam,MilestoneIslam,1,1,0,1,3,0,0.024711015
1653351390,Mchd21,Mchd21,1,1,0,1,3,0,0.024711015
2703328574,ErBreeze,ErBreeze,1,1,0,1,3,0,0.024711015
2337965419,JnDar3a,JnDar3a,1,0,1,1,3,0,0
592938432,abo3bdalrhmn,abo3bdalrhmn,1,0,1,1,3,0,0
2827421164,abuzarqawi88,abuzarqawi88,1,1,0,1,3,0,0.024711015
2811168318,jacklin90856,jacklin90856,1,1,0,1,3,0,0.024711015
1100842615,IslamicFront_R,IslamicFront_R,1,0,1,1,3,0,0
234260088,eshaddd,eshaddd,1,1,0,1,3,0,0.024711015
912066212,hmzh232,hmzh232,1,1,0,1,3,0,0.024711015
2713093828,5084cf4e8ae045d,5084cf4e8ae045d,1,1,0,1,3,0,0.024711015
596215496,AsadAljehad2,AsadAljehad2,1,0,1,1,3,0,0
2852947693,BangsamoroJihad,BangsamoroJihad,1,2,0,2,3,1,0.073645766
534939392,bakeel44,bakeel44,1,0,1,1,3,0,0
1113556759,TalalBazerbashe,TalalBazerbashe,1,0,1,1,3,0,0
711133039,AimarMalecSubei,AimarMalecSubei,1,1,0,1,3,0,0.024711015
2775156667,Alshame123Katab,Alshame123Katab,1,0,1,1,3,0,0
263456734,dochijazi,dochijazi,1,0,2,2,3,0.5,0
2774861884,mur4tava,mur4tava,1,1,0,1,3,0,0.024711015
1713506418,islamicfajer,islamicfajer,1,0,1,1,3,0,0
2404059261,aramasad222,aramasad222,1,1,0,1,3,0,0.024711015
2431453367,atariqniaz,atariqniaz,1,5,0,5,3,0.5,0.121269307
2213677285,khaledalmojahe1,khaledalmojahe1,1,0,1,1,3,0,0
2737375481,sefknylmaz,sefknylmaz,1,2,0,2,3,0.5,0.058102608
2249394426,sameerkakeh,sameerkakeh,1,0,1,1,3,0,0
2836597025,Siham_1435,Siham_1435,1,3,0,3,3,0.8333333,0.10703736
18843972,raydowd,raydowd,1,0,1,1,3,0,0
2861369678,tetuan1992,tetuan1992,1,1,0,1,3,0,0.024711015
2806024600,akhi47reloaded,akhi47reloaded,1,1,0,1,3,0,0.024711015
1638861247,K_ALkhadraa,K_ALkhadraa,1,0,1,1,3,0,0
2854226390,Naazir_,Naazir_,1,1,0,1,3,0,0.024711015
2435582442,FlaLfna,FlaLfna,1,2,0,2,3,1,0.073645766
124488204,harunahamisi,harunahamisi,1,2,0,2,3,1,0.073645766
2442168886,abu55waleed,abu55waleed,1,1,0,1,3,0,0.024711015
1555794620,dedi_77071,dedi_77071,1,2,0,2,3,0.5,0.075003734
248089280,Rebelishfaq,Rebelishfaq,1,1,0,1,3,0,0.024711015
2799307639,Ummyusuf7,Ummyusuf7,1,2,0,2,3,1,0.073645766
910978201,abuabbas5,abuabbas5,1,0,1,1,3,0,0
2527071181,Abu_Ibrahim1413,Abu_Ibrahim1413,1,4,0,4,3,0.16666667,0.049769078
2348714970,AbuDjuhayman,AbuDjuhayman,1,2,0,2,3,0.5,0.058102608
2820213742,abowaleed651,abowaleed651,1,1,0,1,3,0,0.024711015
1004735472,ibrdidi,ibrdidi,1,1,0,1,3,0,0.024711015
1015033008,umayrk90,umayrk90,1,1,0,1,3,0,0.024711015
2719255605,SkHaziii,SkHaziii,1,1,0,1,3,0,0.024711015
257002633,ausfatima,ausfatima,1,1,0,1,3,0,0.024711015
2517893656,abdijum,abdijum,1,1,0,1,3,0,0.024711015
2603191448,Omar2top,Omar2top,1,3,0,3,3,0.8333333,0.123938486
68127916,ksmsj,ksmsj,1,1,0,1,3,0,0.024711015
1239780558,fight4haqq,fight4haqq,1,4,0,4,3,0.8333333,0.157330079
2836696321,alshami1000000,alshami1000000,1,0,2,2,3,0.5,0
2724957560,shvmshvm86,shvmshvm86,1,0,3,3,3,0.6666667,0
2772602234,Salaahudiin1,Salaahudiin1,1,3,0,3,3,0.8333333,0.10703736
2602740970,igogre,igogre,1,1,0,1,3,0,0.024711015
1389628818,based_tweet,based_tweet,1,2,0,2,3,0.5,0.035172715
2819591603,aliumarabubakr1,aliumarabubakr1,1,2,0,2,3,1,0.073645766
169086423,zakyfuadz,zakyfuadz,1,1,0,1,3,0,0.024711015
